Date,Open,High,Low,Close,Adj Close,Volume
03-10-18,26840.19922,27270.16016,26840.19922,27091.25977,27091.25977,1316749100
02-10-18,27716.16016,27716.16016,27073.08008,27126.38086,27126.38086,2081279200
28-09-18,27879.06055,27927.94922,27672.83008,27788.51953,27788.51953,1636511300
27-09-18,27912.50977,27928.28906,27638.53906,27715.66992,27715.66992,1440548100
26-09-18,27606.81055,28031.81055,27589.36914,27816.86914,27816.86914,2338781100
24-09-18,27783.84961,27783.84961,27425.00977,27499.39063,27499.39063,1511079800
21-09-18,27712.34961,27965.96094,27536.26953,27953.58008,27953.58008,2777208200
20-09-18,27605.7207,27628.18945,27327.23047,27477.66992,27477.66992,1399791400
19-09-18,27170.01953,27488.34961,27085.78906,27407.36914,27407.36914,1874196000
18-09-18,26846.33008,27156.55078,26648.99023,27084.66016,27084.66016,1810262900
17-09-18,27029.91016,27037.48047,26763.21094,26932.84961,26932.84961,1262149500
14-09-18,27229.78906,27340.01953,27027.44922,27286.41016,27286.41016,1707220300
13-09-18,26798.39063,27014.49023,26648.76953,27014.49023,27014.49023,2336699600
12-09-18,26462.82031,26468.91016,26219.56055,26345.03906,26345.03906,2255883500
11-09-18,26611.92969,26690.65039,26394.86914,26422.55078,26422.55078,1688227600
10-09-18,26922.26953,26926.63086,26453.28906,26613.41992,26613.41992,2045973800
07-09-18,26895.86914,27196.57031,26669.58008,26973.4707,26973.4707,2859939000
06-09-18,27069.21094,27268.39063,26818.82031,26974.82031,26974.82031,2172071800
05-09-18,27789.01953,27861.99023,27208.33984,27243.84961,27243.84961,1913637000
04-09-18,27619.17969,27984.89063,27563.78906,27973.33984,27973.33984,1102334700
03-09-18,27809.44922,27822.18945,27577.03906,27712.53906,27712.53906,1396877700
31-08-18,27798.21094,27962.0293,27720.32031,27888.55078,27888.55078,1923264400
30-08-18,28533.92969,28533.92969,28121.40039,28164.05078,28164.05078,1292190100
29-08-18,28362.83984,28485.83008,28272.13086,28416.43945,28416.43945,1365810400
28-08-18,28530.89063,28579.64063,28234.5293,28351.61914,28351.61914,1651324700
